,title,runtime
0,The Shawshank Redemption,142
1,The Godfather,175
2,The Godfather: Part II,202
3,The Dark Knight,152
4,12 Angry Men,96
5,Schindler's List,195
6,Pulp Fiction,154
7,The Lord of the Rings: The Return of the King,201
8,"Il buono, il brutto, il cattivo",161
9,Forrest Gump,142
10,The Lord of the Rings: The Fellowship of the Ring,178
11,Fight Club,139
12,Inception,148
13,Dag II,135
14,Dil Bechara,101
15,One Flew Over the Cuckoo's Nest,133
16,Star Wars: Episode V - The Empire Strikes Back,124
17,Goodfellas,146
18,The Matrix,136
19,The Lord of the Rings: The Two Towers,179
20,It's a Wonderful Life,130
21,Shichinin no samurai,207
22,Star Wars,121
23,The Silence of the Lambs,118
24,Se7en,127
25,La vita è bella,116
26,The Green Mile,189
27,Saving Private Ryan,169
28,Sen to Chihiro no kamikakushi,125
29,Cidade de Deus,130
30,Interstellar,169
31,Gisaengchung,132
32,City Lights,87
33,Modern Times,87
34,Casablanca,102
35,Psycho,109
36,C'era una volta il West,165
37,Back to the Future,116
38,Hotaru no haka,89
39,Nuovo Cinema Paradiso,155
40,Terminator 2: Judgment Day,137
41,The Lion King,88
42,Léon,110
43,The Usual Suspects,106
44,American History X,119
45,Gladiator,155
46,The Pianist,150
47,The Departed,151
48,The Prestige,130
49,Intouchables,112
50,Whiplash,106
51,Joker,122
52,The Great Dictator,125
53,Sunset Blvd.,110
54,Rear Window,112
55,Paths of Glory,88
56,Witness for the Prosecution,116
57,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,95
58,Alien,117
59,Apocalypse Now,147
60,The Shining,146
61,Raiders of the Lost Ark,115
62,Once Upon a Time in America,229
63,Mononoke-hime,134
64,Memento,113
65,Oldeuboi,120
66,Das Leben der Anderen,137
67,WALL·E,98
68,Taare Zameen Par,165
69,3 Idiots,170
70,The Dark Knight Rises,164
71,Django Unchained,165
72,Coco,105
73,Avengers: Infinity War,149
74,Avengers: Endgame,181
75,Spider-Man: Into the Spider-Verse,117
76,Dangal,161
77,Kimi no na wa.,106
78,Capharnaüm,126
79,The Kid,68
80,Metropolis,153
81,M - Eine Stadt sucht einen Mörder,117
82,Citizen Kane,119
83,Double Indemnity,107
84,Ladri di biciclette,89
85,Ikiru,143
86,Singin' in the Rain,103
87,Vertigo,128
88,North by Northwest,136
89,The Apartment,125
90,Lawrence of Arabia,228
91,Per qualche dollaro in più,132
92,2001: A Space Odyssey,149
93,A Clockwork Orange,136
94,The Sting,129
95,Taxi Driver,114
96,Das Boot,149
97,Star Wars: Episode VI - Return of the Jedi,131
98,Scarface,170
99,Amadeus,160
