,Title,Playtime
0,Super Mario 64 DS,1468.9999999999998
1,Lumines: Puzzle Fusion,600.0
2,WarioWare Touched!,150.0
4,Spider-Man 2,600.0
5,The Urbz: Sims in the City,1200.0
6,Ridge Racer,53.0
7,Metal Gear Ac!d,1276.0
9,Pokmon Dash,70.99999999999999
10,Dynasty Warriors,124.99999999999999
11,Feel the Magic XY/XX,180.0
12,Ridge Racer DS,134.0
13,Darkstalkers Chronicle: The Chaos Tower,120.0
14,Ape Escape Academy,113.0
15,Polarium,360.0
16,Asphalt: Urban GT,744.0
17,Zoo Keeper,300.0
18,Mr. DRILLER: Drill Spirits,593.0
19,Sprung,1065.0
21,Puyo Pop Fever,120.0
22,Mario Kart DS,545.0
23,Nintendogs,1678.9999999999998
24,Brain Age: Train Your Brain in Minutes a Day!,60.0
25,Brain Agey: More Training in Minutes a Day!,900.0
26,Grand Theft Auto: Liberty City Stories,898.0000000000001
27,Animal Crossing: Wild World,4832.0
28,Big Brain Academy,428.0
29,Call of Duty 2,540.0
30,Midnight Club 3: DUB Edition,2880.0
31,Need for Speed: Most Wanted 5-1-0,620.0
32,Pokmon Mystery Dungeon: Blue Rescue Team,1537.0
33,Sonic Rush,373.0
34,Star Wars: Battlefront II,540.0
35,SOCOM: U.S. Navy SEALs - Fireteam Bravo,515.0
36,Need for Speed: Most Wanted,720.0
38,The Sims 2,2095.0
39,Mario & Luigi: Partners in Time,1119.0
40,Madden NFL 06,225.0
41,Need for Speed Underground: Rivals,1228.0
43,Perfect Dark Zero,480.0
44,Super Monkey Ball: Touch & Roll,34.0
45,Super Princess Peach,556.9999999999999
46,Burnout Legends,720.0
47,Madden NFL 06,225.0
48,Clubhouse Games,1200.0
50,Untold Legends: Brotherhood of the Blade,1260.0
51,Tony Hawk's Underground 2: Remix,1407.0
52,The Sims 2,2095.0
53,WipEout Pure,528.0
54,NBA Live 06,240.0
55,WWE Smackdown vs. Raw 2006,565.0
56,Dead or Alive 4,360.0
57,Phoenix Wright: Ace Attorney,1143.0
58,Spider-Man 2,600.0
60,Kirby: Canvas Curse,340.0
61,Battlefield 2: Modern Combat,416.0
62,Yoshi Touch & Go,270.0
64,Condemned: Criminal Origins,453.0
65,Peter Jackson's King Kong: The Official Game of...,420.0
